"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V_cte","der(Q)","i_in","i_out"
0,80,0,37.5,37.5,75,50,24,-9.25925925925926e-4,0,3.3333333333333335
0.1,80,1.308959557134444,37.49990816492625,37.5,75,49.999877553234995,24,-9.107759310516847e-4,0.054539981547268496,3.3333333333333335
0.2,80,2.6176948307873147,37.49981784465927,37.5,75,49.99975712621236,24,-8.956285320510728e-4,0.10907061794947144,3.3333333333333335
0.3,80,3.92598157590686,37.499729038334884,37.5,75,49.999638717779845,24,-8.804863243529299e-4,0.16358256566278584,3.3333333333333335
0.4,80,5.233595624294383,37.49964174588464,37.5,75,49.999522327846186,24,-8.653519024965929e-4,0.21806648434559928,3.3333333333333335
0.5,80,6.540312923014306,37.49955596272716,37.5,75,49.999407950302874,24,-8.502278596873345e-4,0.27251303845892944,3.3333333333333335
0.6,80,7.8459095727844925,37.49947168970078,37.5,75,49.99929558626771,24,-8.351167873520315e-4,0.32691289886602054,3.3333333333333335
0.7,80,9.150161866340238,37.49938892712494,37.5,75,49.99918523616659,24,-8.200212746951362e-4,0.38125674443084323,3.3333333333333335
0.8,80,10.452846326765346,37.49930767499963,37.5,75,49.9990769,24,-8.049439082550308e-4,0.43553526361522277,3.3333333333333335
0.9,80,11.753739745783765,37.49922790605467,37.5,75,49.99897054140623,24,-7.898872714608361e-4,0.48973915607432356,3.3333333333333335
1,80,13.052619222005157,37.49914962868997,37.5,75,49.99886617158663,24,-7.748539441897552e-4,0.5438591342502149,3.3333333333333335
1.1,80,14.349262199117932,37.49907284803125,37.5,75,49.998763797375,24,-7.59846502325024e-4,0.5978859249632472,3.3333333333333335
1.2,80,15.643446504023084,37.4989975640785,37.5,75,49.998663418771336,24,-7.448675173145476e-4,0.6518102710009618,3.3333333333333335
1.3,80,16.934950384902457,37.49892377683174,37.5,75,49.99856503577565,24,-7.299195557302958e-4,0.705622932704269,3.3333333333333335
1.4,80,18.223552549214745,37.49885148629096,37.5,75,49.99846864838794,24,-7.150051788285331e-4,0.7593146895506143,3.3333333333333335
1.5,80,19.509032201612825,37.498780692456165,37.5,75,49.998374256608216,24,-7.001269421109627e-4,0.8128763417338677,3.3333333333333335
1.6,80,20.79116908177593,37.49871139532734,37.5,75,49.99828186043646,24,-6.852873948868527e-4,0.8662987117406638,3.3333333333333335
1.7,80,22.069743502150107,37.498643446891286,37.5,75,49.998191262521715,24,-6.704890798362257e-4,0.9195726459229211,3.3333333333333335
1.8,80,23.34453638559054,37.49857685924758,37.5,75,49.99810247899677,24,-6.557345325741836e-4,0.9726890160662726,3.3333333333333335
1.9,80,24.6153293028993,37.49851171384469,37.5,75,49.99801561845959,24,-6.410262812164433e-4,1.0256387209541376,3.3333333333333335
2,80,25.881904510252074,37.498448010682644,37.5,75,49.997930680910194,24,-6.263668459461565e-4,1.0784126879271698,3.3333333333333335
2.1,80,27.144044986507428,37.49838574976141,37.5,75,49.99784766634855,24,-6.1175873858209e-4,1.1310018744378094,3.3333333333333335
2.2,80,28.401534470392264,37.498324931081015,37.5,75,49.99776657477469,24,-5.972044621482378e-4,1.1833972695996777,3.3333333333333335
2.3,80,29.654157497557094,37.49826555464143,37.5,75,49.99768740618857,24,-5.827065104449411e-4,1.2355898957315457,3.3333333333333335
2.4,80,30.901699437494734,37.49820762044268,37.5,75,49.99761016059024,24,-5.682673676215888e-4,1.287570809895614,3.3333333333333335
2.5,80,32.14394653031615,37.49815112848476,37.5,75,49.99753483797967,24,-5.538895077509705e-4,1.3393311054298396,3.3333333333333335
2.6,80,33.380685923377094,37.49809607876766,37.5,75,49.99746143835688,24,-5.395753944053577e-4,1.3908619134740456,3.3333333333333335
2.7,80,34.611705707749294,37.49804247129139,37.5,75,49.99738996172186,24,-5.253274802343832e-4,1.442154404489554,3.3333333333333335
2.8,80,35.83679495453002,37.49799030605595,37.5,75,49.9973204080746,24,-5.111482065447915e-4,1.4931997897720841,3.3333333333333335
2.9,80,37.05574375098362,37.497939583061324,37.5,75,49.9972527774151,24,-4.97040002882134e-4,1.543989322957651,3.3333333333333335
3,80,38.268343236508976,37.49789030230753,37.5,75,49.997187069743376,24,-4.830052866144795e-4,1.5945143015212073,3.3333333333333335
3.1,80,39.47438563842672,37.49784246379456,37.5,75,49.997123285059416,24,-4.6904646251820937e-4,1.6447660682677798,3.3333333333333335
3.2,80,40.67366430758001,37.49779606752242,37.5,75,49.997061423363235,24,-4.5516592236597217e-4,1.6947360128158337,3.3333333333333335
3.3,80,41.8659737537428,37.497750938649645,37.5,75,49.99700125153286,24,-4.413660445168658e-4,1.7444155730726167,3.3333333333333335
3.4,80,43.051109680829505,37.49770662078661,37.5,75,49.996942161048814,24,-4.2764919350891776e-4,1.7937962367012295,3.3333333333333335
3.5,80,44.228869021900124,37.49766365484815,37.5,75,49.99688487313087,24,-4.1401771965393375e-4,1.842869542579172,3.3333333333333335
