"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V","V_max","V_min","der(Q)","i_in","i_out"
0,120,0,37.5,37.5,75,50,24,26,22,-0.001388888888888889,0,5
0.096,120,1.2566039883352607,37.49986736477768,37.5,75,49.99982315303691,23.999992926121475,26,22,-0.0013743452663274307,0.052358514946376465,5.000001473725127
0.192,120,2.5130095443337477,37.49973612557948,37.5,75,49.99964816743931,23.999985926697573,26,22,-0.0013598039276460781,0.10470879241384376,5.000002931939725
0.288,120,3.7690182669934535,37.499606281674076,37.5,75,49.9994750422321,23.999979001689283,26,22,-0.0013452671692942523,0.15704256519258472,5.000004374651893
0.384,120,5.024431817976955,37.499477833003475,37.5,75,49.999303777337964,23.99997215109352,26,22,-0.001330737286996583,0.20935156867455054,5.000005801862249
0.48,120,6.2790519529313364,37.499350775680746,37.5,75,49.99913436757433,23.999965374702974,26,22,-0.0013162165754036135,0.2616275421609456,5.000007213613954
0.576,120,7.532680552793271,37.499225110417136,37.5,75,49.99896681388952,23.999958672555582,26,22,-0.0013017073277044073,0.3138622301632143,5.00000860989908
0.672,120,8.785119655074316,37.49910083748365,37.5,75,49.99880111664487,23.999952044665793,26,22,-0.0012872118352795277,0.3660473837082891,5.000009990714589
0.768,120,10.036171485121487,37.49897795688032,37.5,75,49.99863727584042,23.999945491033618,26,22,-0.0012727323873386043,0.41817476164147965,5.000011356060455
0.864,120,11.285638487348166,37.498856445452084,37.5,75,49.998475260602774,23.99993901042411,26,22,-0.001258271270622731,0.4702361319521009,5.000012706193933
0.96,120,12.533323356430422,37.49873631033129,37.5,75,49.99831508044172,23.99993260321767,26,22,-0.00124383076889189,0.5222232730249451,5.000014041035749
1.056,120,13.779029068463808,37.49861755587017,37.5,75,49.99815674116023,23.99992626964641,26,22,-0.0012294131626594687,0.5741279749634337,5.000015360537521
1.152,120,15.022558912075704,37.49850018206873,37.5,75,49.99800024275831,23.999920009710333,26,22,-0.0012150207288358851,0.6259420408900362,5.000016664699223
1.248,120,16.26371651948836,37.49838418892697,37.5,75,49.997845585235964,23.99991382340944,26,22,-0.0012006557403566778,0.6776572882367928,5.000017953520833
1.344,120,17.502305897527602,37.49826957644488,37.5,75,49.997692768593176,23.999907710743727,26,22,-0.0011863204658235297,0.7292655500376184,5.000019227002325
1.44,120,18.73813145857246,37.49815634462248,37.5,75,49.99754179282998,23.9999016717132,26,22,-0.001172017169145981,0.7807586762181458,5.000020485143678
1.536,120,19.9709980514407,37.498044493459744,37.5,75,49.99739265794633,23.999895706317854,26,22,-0.0011577481091838797,0.8321285348829008,5.000021727944867
1.632,120,21.20071099220546,37.497933897147355,37.5,75,49.997245196196474,23.999889807847858,26,22,-0.0011435155397103301,0.883367013846577,5.0000229568037655
1.728,120,22.427076094938116,37.497824565969815,37.5,75,49.997099421293086,23.999883976851724,26,22,-0.0011293217083786801,0.9344660214428283,5.000024171606077
1.824,120,23.64989970237247,37.497716569157255,37.5,75,49.99695542554301,23.99987821702172,26,22,-0.0011151688565802342,0.9854174878937081,5.000025371582551
1.92,120,24.868988716485475,37.4976099067097,37.5,75,49.996813208946264,23.99987252835785,26,22,-0.0011010592194130905,1.03621336684604,5.000026556733165
2.016,120,26.08415062898969,37.497504578627144,37.5,75,49.99667277150286,23.999866910860113,26,22,-0.0010869950251510296,1.0868456365141934,5.0000277270579
2.112,120,27.29519355173252,37.497400584909585,37.5,75,49.99653411321278,23.99986136452851,26,22,-0.0010729784948915952,1.1373063009469908,5.000028882556733
2.208,120,28.501926246997613,37.49729792555702,37.5,75,49.99639723407603,23.99985588936304,26,22,-0.0010590118422053063,1.1875873912905424,5.000030023229645
2.304,120,29.704158157703485,37.497196600569445,37.5,75,49.996262134092596,23.999850485363705,26,22,-0.0010450972727860603,1.2376809670467968,5.000031149076613
2.4,120,30.901699437494734,37.49709660994688,37.5,75,49.99612881326251,23.9998451525305,26,22,-0.0010312369841027787,1.287579117327618,5.000032260097621
2.496,120,32.09436098072095,37.4969979536893,37.5,75,49.995997271585736,23.99983989086343,26,22,-0.0010174331650523508,1.3372739621041825,5.000033356292645
2.592,120,33.28195445229866,37.49690063179672,37.5,75,49.99586750906229,23.99983470036249,26,22,-0.0010036879956139351,1.3867576534515038,5.00003443766167
2.688,120,34.46429231745171,37.49680464426914,37.5,75,49.99573952569219,23.999829581027686,26,22,-9.900036465046618e-4,1.4360223767878908,5.000035504204673
2.784,120,35.641187871325066,37.49670999110655,37.5,75,49.995613321475396,23.999824532859016,26,22,-9.76382278836806e-4,1.485060352109135,5.000036555921636
2.88,120,36.812455268467794,37.49661667230896,37.5,75,49.99548889641195,23.99981955585648,26,22,-9.628260437764722e-4,1.5338638352172425,5.000037592812542
2.976,120,37.97790955218011,37.49652468787637,37.5,75,49.995366250501824,23.999814650020074,26,22,-9.493370822038513e-4,1.5824251189435057,5.00003861487737
3.072,120,39.13736668372024,37.496434037808775,37.5,75,49.995245383745036,23.999809815349803,26,22,-9.359175243751033e-4,1.630736534365733,5.0000396221161045
3.168,120,40.29064357136626,37.49634457321628,37.5,75,49.9951260976217,23.999805043904868,26,22,-9.225694898911641e-4,1.6787904525748933,5.000040616183084
3.264,120,41.437558099328406,37.496255905450866,37.5,75,49.99500787393449,23.99980031495738,26,22,-9.092950875246934e-4,1.7265792863077825,5.000041601396679
3.36,120,42.57792915650726,37.49616849513977,37.5,75,49.99489132685302,23.99979565307412,26,22,-8.960964126835965e-4,1.77409548697776,5.000042572638708
3.456,120,43.71157666509328,37.49608234228299,37.5,75,49.99477645637732,23.99979105825509,26,22,-8.829755497747015e-4,1.8213315507202312,5.000043529909156
3.552,120,44.838321609003216,37.49599744688053,37.5,75,49.99466326250737,23.999786530500295,26,22,-8.699345709165307e-4,1.868280017908498,5.000044473208009
3.648,120,45.957986062148784,37.49591380893238,37.5,75,49.99455174524317,23.999782069809726,26,22,-8.569755356120457e-4,1.9149334743318835,5.000045402535248
3.744,120,47.070393216533255,37.49583142843856,37.5,75,49.99444190458474,23.99977767618339,26,22,-8.441004904233823e-4,1.9612845523666833,5.00004631789086
3.84,120,48.17536741017152,37.49575030539904,37.5,75,49.994333740532056,23.999773349621282,26,22,-8.313114686486297e-4,2.0073259321397603,5.000047219274827
3.936,120,49.27273415482915,37.49567043981385,37.5,75,49.994227253085135,23.999769090123404,26,22,-8.186104900007044e-4,2.053050342684601,5.000048106687137
4.032,120,50.36232016357608,37.49559183168297,37.5,75,49.99412244224396,23.999764897689758,26,22,-8.0599956028837e-4,2.0984505630896413,5.000048980127773
4.128,120,51.44395337815064,37.49551448100642,37.5,75,49.99401930800856,23.999760772320343,26,22,-7.934806710994519e-4,2.143519423638694,5.000049839596721
4.224,120,52.517462996129574,37.495438387784176,37.5,75,49.9939178503789,23.999756714015156,26,22,-7.810557994862992e-4,2.188249806943289,5.000050685093966
4.32,120,53.58267949789967,37.49536355201625,37.5,75,49.993818069355,23.9997527227742,26,22,-7.687269076535412e-4,2.2326346490667466,5.000051516619495
4.416,120,54.63943467342691,37.49528997370265,37.5,75,49.99371996493686,23.999748798597473,26,22,-7.564959426481894e-4,2.276666940639812,5.000052334173294
4.512,120,55.68756164881879,37.49521765284335,37.5,75,49.99362353712447,23.99974494148498,26,22,-7.443648360521317e-4,2.320339727967673,5.000053137755347
4.608,120,56.72689491267564,37.495146589438384,37.5,75,49.993528785917846,23.999741151436712,26,22,-7.323355036770724e-4,2.3636461141281835,5.000053927365644
4.704,120,57.757270342226754,37.495076783487725,37.5,75,49.99343571131697,23.99973742845268,26,22,-7.204098452619588e-4,2.4065792600611173,5.000054703004169
