"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V","V_max","V_min","der(Q)","i_in","i_out"
0,40,0,37.5,37.5,75,50,24,26,22,-4.62962962962963e-4,0,1.6666666666666667
0.096,40,1.2566039883352607,37.49995625368397,37.5,75,49.999941671578625,23.999997666863145,26,22,-4.4841897891281237e-4,0.05235850460395073,1.6666668286900752
0.192,40,2.5130095443337477,37.499913903426176,37.5,75,49.99988520456824,23.99999540818273,26,22,-4.338772873598733e-4,0.1047087510473833,1.666666985542927
0.288,40,3.7690182669934535,37.499872948493994,37.5,75,49.99983059799199,23.99999322391968,26,22,-4.1934018474935794e-4,0.15704247213024408,1.6666671372279327
0.384,40,5.024431817976955,37.49983338882936,37.5,75,49.99977785177248,23.999991114070898,26,22,-4.048099668012574e-4,0.20935140326077842,1.666667283745305
0.48,40,6.2790519529313364,37.499795220542204,37.5,75,49.99972696072294,23.999989078428918,26,22,-3.902889281517875e-4,0.26162728376301303,1.666667425109448
0.576,40,7.532680552793271,37.49975844434437,37.5,75,49.9996779257925,23.9999871170317,26,22,-3.7577936198333005e-4,0.313861858177735,1.6666675613177233
0.672,40,8.785119655074316,37.49972306050709,37.5,75,49.999630747342785,23.99998522989371,26,22,-3.6128355966705283e-4,0.3660468775677336,1.6666676923691237
0.768,40,10.036171485121487,37.499689069030346,37.5,75,49.999585425373795,23.999983417014953,26,22,-3.468038104008236e-4,0.4181741008206812,1.6666678182636463
0.864,40,11.285638487348166,37.499656446749896,37.5,75,49.99954192899986,23.999981677159994,26,22,-3.323424008645339e-4,0.4702352959747608,1.6666679390870829
0.96,40,12.533323356430422,37.4996252008009,37.5,75,49.99950026773453,23.999980010709383,26,22,-3.179016148174715e-4,0.5222222414701072,1.6666680548130046
1.056,40,13.779029068463808,37.49959533553736,37.5,75,49.99946044738314,23.999978417895324,26,22,-3.034837327648133e-4,0.5741267274719557,1.6666681654252835
1.152,40,15.022558912075704,37.49956685095925,37.5,75,49.999422467945664,23.999976898717826,26,22,-2.890910315980194e-4,0.6259405571710475,1.6666682709239173
1.248,40,16.26371651948836,37.49953974706657,37.5,75,49.999386329422094,23.999975453176884,26,22,-2.7472578423188047e-4,0.6776555480741346,1.6666683713089043
1.344,40,17.502305897527602,37.499514023859334,37.5,75,49.99935203181244,23.999974081272498,26,22,-2.6039025924554885e-4,0.7292635332962666,1.6666684665802425
1.44,40,18.73813145857246,37.499489681337536,37.5,75,49.999319575116715,23.99997278300467,26,22,-2.460867205242544e-4,0.7807563628506143,1.6666685567379302
1.536,40,19.9709980514407,37.49946671950118,37.5,75,49.999288959334905,23.999971558373396,26,22,-2.3181742690176166e-4,0.8321259049356239,1.6666686417819658
1.632,40,21.20071099220546,37.49944501251667,37.5,75,49.99926001668889,23.999970400667557,26,22,-2.1758463186446767e-4,0.8833640474663155,1.6666687221783991
1.728,40,22.427076094938116,37.499424570670485,37.5,75,49.99923276089398,23.99996931043576,26,22,-2.0339058305726847e-4,0.9344626988829643,1.6666687978891308
1.824,40,23.64989970237247,37.49940546320613,37.5,75,49.999207284274846,23.999968291370994,26,22,-1.8923752198254741e-4,0.9854137895205307,1.6666688686577014
1.92,40,24.868988716485475,37.49938769012362,37.5,75,49.99918358683149,23.99996734347326,26,22,-1.7512768370529298e-4,1.0362092731450547,1.6666689344841095
2.016,40,26.08415062898969,37.499371251422936,37.5,75,49.999161668563914,23.999966466742556,26,22,-1.6106329646443818e-4,1.0868411280963766,1.666668995368354
2.112,40,27.29519355173252,37.49935614710408,37.5,75,49.999141529472105,23.999965661178884,26,22,-1.470465813209489e-4,1.1373013585550178,1.6666690513104339
2.208,40,28.501926246997613,37.49934237716706,37.5,75,49.99912316955608,23.999964926782244,26,22,-1.3307975180704626e-4,1.1875819958049814,1.666669102310348
