"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V","V_max","V_min","der(Q)","i_in","i_out"
0,80,0,37.5,37.5,75,50,24,26,22,-9.25925925925926e-4,0,3.3333333333333335
0.1,80,1.308959557134444,37.49990816491692,37.5,75,49.999877553222554,23.999995102128903,26,22,-9.107761169210187e-4,0.05453999267767907,3.3333340135933467
0.2,80,2.6176948307873147,37.499817844622655,37.5,75,49.999757126163544,23.999990285046543,26,22,-8.956288945924488e-4,0.10907066210015502,3.333334682632971
0.3,80,3.92598157590686,37.499729038254465,37.5,75,49.99963871767262,23.999985548706906,26,22,-8.804868545268298e-4,0.1635826641619952,3.3333353404585826
0.4,80,5.233595624294383,37.499641745743986,37.5,75,49.999522327658646,23.999980893106347,26,22,-8.653525914215902e-4,0.21806665795295105,3.333335987070676
0.5,80,6.540312923014306,37.4995559625131,37.5,75,49.99940795001746,23.999976318000698,26,22,-8.502286986504781e-4,0.27251330736142754,3.3333366225031487
0.6,80,7.8459095727844925,37.49947168939953,37.5,75,49.99929558586604,23.99997182343464,26,22,-8.351177677999633e-4,0.3269132826699153,3.333337246749783
0.7,80,9.150161866340238,37.49938892672249,37.5,75,49.99918523562998,23.9999674094252,26,22,-8.200223882368437e-4,0.38125726215556494,3.333337859808202
0.8,80,10.452846326765346,37.499307674481976,37.5,75,49.9990768993093,23.99996307597237,26,22,-8.049451466640656e-4,0.43553593368775817,3.333338461678394
0.9,80,11.753739745783765,37.499227905416646,37.5,75,49.998970540555526,23.999958821622222,26,22,-7.898886267246808e-4,0.48973999635343113,3.333339052562282
1,80,13.052619222005157,37.49914962792368,37.5,75,49.9988661705649,23.999954646822594,26,22,-7.748554084462052e-4,0.5438601619913154,3.3333396323976543
1.1,80,14.349262199117932,37.49907284712715,37.5,75,49.998763796169534,23.99995055184678,26,22,-7.598480678701775e-4,0.5978871568139029,3.333340201146542
1.2,80,15.643446504023084,37.49899756302705,37.5,75,49.99866341736939,23.999946536694775,26,22,-7.448691766132203e-4,0.6518117230013408,3.3333407588089337
1.3,80,16.934950384902457,37.498923775623375,37.5,75,49.9985650341645,23.99994260136658,26,22,-7.299213014171791e-4,0.7056246202829737,3.3333413053848187
1.4,80,18.223552549214745,37.49885148491612,37.5,75,49.998468646554834,23.999938745862192,26,22,-7.150070037092638e-4,0.759316627520837,3.3333418408741866
1.5,80,19.509032201612825,37.498780690905306,37.5,75,49.99837425454041,23.999934970181616,26,22,-7.001288391630983e-4,0.812878544289872,3.333342365277026
1.6,80,20.79116908177593,37.49871139359092,37.5,75,49.99828185812123,23.99993127432485,26,22,-6.852893572607589e-4,0.8663011924545944,3.3333428785933266
1.7,80,22.069743502150107,37.49864344497882,37.5,75,49.99819125997176,23.99992765039887,26,22,-6.704911010763808e-4,0.9195754180443672,3.333343381919338
1.8,80,23.34453638559054,37.49857685716701,37.5,75,49.99810247622268,23.999924099048908,26,22,-6.557366063671872e-4,0.9726920922435609,3.333343875165435
1.9,80,24.6153293028993,37.49851171159351,37.5,75,49.998015615458016,23.99992062461832,26,22,-6.410284012945275e-4,1.0256421130680622,3.333344357728361
2,80,25.881904510252074,37.49844800825829,37.5,75,49.99793067767773,23.999917227107108,26,22,-6.263690062117676e-4,1.0784164072457434,3.3333448296081065
2.1,80,27.144044986507428,37.49838574716137,37.5,75,49.99784766288183,23.999913906515275,26,22,-6.117609331083629e-4,1.1310059316145553,3.3333452908046617
2.2,80,28.401534470392264,37.498324928302736,37.5,75,49.997766571070315,23.99991066284281,26,22,-5.972066851793838e-4,1.1834016746722371,3.333345741318019
2.3,80,29.654157497557094,37.498265551682394,37.5,75,49.99768740224319,23.999907496089726,26,22,-5.82708756396546e-4,1.2355946581206034,3.333346181148169
2.4,80,30.901699437494734,37.498207617300345,37.5,75,49.997610156400455,23.999904406256018,26,22,-5.682696310808232e-4,1.2875759384041394,3.3333466102951026
2.5,80,32.14394653031615,37.49815112515659,37.5,75,49.99753483354212,23.999901393341684,26,22,-5.538917834767137e-4,1.3393366082426437,3.333347028758813
2.6,80,33.380685923377094,37.49809607525112,37.5,75,49.997461433668164,23.999898457346728,26,22,-5.395776773282328e-4,1.390867798157653,3.333347436539291
2.7,80,34.611705707749294,37.49804246758395,37.5,75,49.9973899567786,23.999895598271145,26,22,-5.253297654567053e-4,1.4421606779923901,3.3333478336365294
2.8,80,35.83679495453002,37.49799030215507,37.5,75,49.99732040287343,23.999892816114937,26,22,-5.111504893404289e-4,1.4932064584249765,3.3333482200505204
2.9,80,37.05574375098362,37.49793957896448,37.5,75,49.99725277195264,23.999890110878106,26,22,-4.97042278696282e-4,1.5439963924746416,3.3333485957812568
3,80,38.268343236508976,37.49789029801217,37.5,75,49.99718706401623,23.99988748256065,26,22,-4.8300755106334755e-4,1.5945217770006797,3.333348960828731
3.1,80,39.47438563842672,37.49784245929817,37.5,75,49.997123279064226,23.99988493116257,26,22,-4.690487113886225e-4,1.6447739541938944,3.3333493151929354
3.2,80,40.67366430758001,37.49779606282245,37.5,75,49.9970614170966,23.999882456683864,26,22,-4.551681516148863e-4,1.6947443130602737,3.3333496588738645
3.3,80,41.8659737537428,37.49775093375168,37.5,75,49.997001245002245,23.99988004980009,26,22,-4.4136825044227725e-4,1.7444242915743875,3.3333499931665855
3.4,80,43.051109680829505,37.49770661571744,37.5,75,49.99694215428992,23.999877686171597,26,22,-4.2765137299544505e-4,1.7938053786680324,3.3333503214516345
3.5,80,44.228869021900124,37.49766364960944,37.5,75,49.996884866145926,23.999875394645837,26,22,-4.1401986919945173e-4,1.8428791106043492,3.3333506397223753
3.6,80,45.399049973954675,37.497622035427675,37.5,75,49.99682938057023,23.99987317522281,26,22,-4.004760748968243e-4,1.8916370783502359,3.3333509479788033
3.7,80,46.561452032511134,37.497581773172136,37.5,75,49.99677569756285,23.999871027902515,26,22,-3.8702231090016227e-4,1.9400709269803273,3.3333512462209116
3.8,80,47.71587602596084,37.49754286284285,37.5,75,49.9967238171238,23.999868952684952,26,22,-3.7366088259442837e-4,1.9881723571087537,3.333351534448696
3.9,80,48.86212414969549,37.49750530443978,37.5,75,49.99667373925303,23.999866949570123,26,22,-3.603940795418804e-4,2.035933126311381,3.3333518126621504
4,80,50,37.497469097962956,37.5,75,49.99662546395061,23.999865018558026,26,22,-3.4722417508971576e-4,2.0833450505382936,3.33335208086127
4.1,80,51.129308607705205,37.497434243412364,37.5,75,49.99657899121648,23.99986315964866,26,22,-3.34153425980495e-4,2.130400005516269,3.333352339046051
4.2,80,52.24985647159488,37.497400740788,37.5,75,49.99653432105067,23.999861372842027,26,22,-3.2118407196540994e-4,2.177089928141011,3.333352587216487
4.3,80,53.36145159156115,37.497368590089884,37.5,75,49.99649145345318,23.999859658138128,26,22,-3.083183354204644e-4,2.2234068178589026,3.3333528253725744
4.4,80,54.463903501502706,37.49733779131799,37.5,75,49.99645038842399,23.999858015536958,26,22,-2.9555842096563205e-4,2.269342738038034,3.3333530535143097
4.5,80,55.557023301960214,37.497308344472344,37.5,75,49.99641112596313,23.999856445038525,26,22,-2.8290651508705713e-4,2.3148898173282815,3.333353271641687
4.6,80,56.64062369248328,37.49728024955292,37.5,75,49.99637366607057,23.999854946642824,26,22,-2.7036478576236255e-4,2.3600402510101985,3.3333534797547038
4.7,80,57.71451900372335,37.49725350655974,37.5,75,49.996338008746314,23.999853520349852,26,22,-2.5793538208913143e-4,2.404786302332483,3.3333536778533563
4.8,80,58.7785252292473,37.497228115492796,37.5,75,49.996304153990394,23.999852166159616,26,22,-2.4562043391662013e-4,2.4491203038378075,3.33335386593764
